latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-19.57572,-52.51332,310.61,1.23,1.1,2026-06-04,1858,A,59,6.1NRT,299.52,7.67,D
-19.80478,-56.35273,323.58,2.29,1.47,2026-06-04,1858,A,80,6.1NRT,299.58,57.61,D
-19.80714,-56.37408,310.76,2.3,1.47,2026-06-04,1858,A,62,6.1NRT,298.49,19.66,D
-18.49899,-51.66544,333.42,1.09,1.04,2026-06-04,1858,A,87,6.1NRT,300.69,32.82,D
-18.54297,-58.58362,308.9,3.28,1.71,2026-06-04,1858,A,42,6.1NRT,296.67,23.75,D
-18.54598,-58.61396,321.78,3.3,1.72,2026-06-04,1858,A,78,6.1NRT,297.5,85.49,D
-18.54402,-58.59058,316.55,3.28,1.71,2026-06-04,1858,A,72,6.1NRT,297.13,58.43,D
-18.54726,-58.62094,316.71,3.3,1.72,2026-06-04,1858,A,72,6.1NRT,297.29,59.86,D
-16.90029,-46.78741,312.71,1.31,1.14,2026-06-04,1858,A,68,6.1NRT,299.67,12.36,D
-16.92775,-47.14764,307.52,1.25,1.11,2026-06-04,1858,A,57,6.1NRT,296.09,7.41,D
-18.39273,-59.05578,343.53,3.55,1.77,2026-06-04,1858,A,93,6.1NRT,299.32,281.58,D
-18.39684,-59.06236,337.71,3.55,1.77,2026-06-04,1858,A,90,6.1NRT,298.77,223.45,D
-18.38125,-59.06398,331.45,3.55,1.77,2026-06-04,1858,A,86,6.1NRT,299.38,162.03,D
-18.3846,-59.09669,331.05,3.57,1.77,2026-06-04,1858,A,85,6.1NRT,298.62,162.04,D
-16.55236,-46.42635,325.24,1.4,1.17,2026-06-04,1858,A,82,6.1NRT,298.27,31.55,D
-16.55448,-46.4389,326.51,1.4,1.17,2026-06-04,1858,A,83,6.1NRT,298.21,33.68,D
-17.27169,-52.25705,311.86,1.12,1.06,2026-06-04,1858,A,64,6.1NRT,300.29,8.28,D
-16.44638,-46.89945,310.27,1.31,1.14,2026-06-04,1858,A,63,6.1NRT,297.44,8.85,D
-16.59711,-49.36784,314.38,1.02,1.01,2026-06-04,1858,A,68,6.1NRT,299.17,8.05,D
-17.63383,-60.39602,310.57,4.41,1.93,2026-06-04,1858,A,63,6.1NRT,297.4,54.58,D
-16.85143,-53.47182,309.3,1.29,1.13,2026-06-04,1858,A,40,6.1NRT,299.01,6.33,D
-17.62976,-60.40395,311.86,4.41,1.93,2026-06-04,1858,A,65,6.1NRT,297.41,61.46,D
-17.50372,-59.48651,332.76,3.73,1.81,2026-06-04,1858,A,87,6.1NRT,297.02,189.71,D
-17.50715,-59.52005,339.07,3.75,1.81,2026-06-04,1858,A,90,6.1NRT,299.23,256.52,D
-16.18554,-49.21272,321.55,1.03,1.02,2026-06-04,1858,A,78,6.1NRT,298.08,16.9,D
-17.49124,-59.52196,325.65,3.75,1.81,2026-06-04,1858,A,81,6.1NRT,300.39,136.68,D
-17.49468,-59.55611,319,3.78,1.82,2026-06-04,1858,A,75,6.1NRT,298.45,89.05,D
-17.49465,-59.49165,335.34,3.73,1.81,2026-06-04,1858,A,88,6.1NRT,298.02,206.22,D
-17.4983,-59.52531,335.07,3.75,1.81,2026-06-04,1858,A,88,6.1NRT,300.77,207.81,D
-15.4182,-46.53029,308.39,1.44,1.19,2026-06-04,1858,A,60,6.1NRT,296.17,9.92,D
-15.45966,-46.97288,314.79,1.34,1.15,2026-06-04,1858,A,71,6.1NRT,298.43,15.28,D
-30.03982,-50.42945,303.95,1.26,1.12,2026-06-04,1853,A,58,6.1NRT,291.46,7.67,D
-15.82071,-49.97292,309.03,1.01,1,2026-06-04,1858,A,51,6.1NRT,298.76,4.61,D
-15.21832,-46.27149,318.4,1.51,1.21,2026-06-04,1858,A,76,6.1NRT,297,23.13,D
-30.0414,-50.44231,307.96,1.26,1.12,2026-06-04,1853,A,66,6.1NRT,291.56,11.25,D
-15.22065,-46.28514,313.61,1.51,1.21,2026-06-04,1858,A,70,6.1NRT,297.22,15.68,D
-29.7317,-58.54506,310.62,4.44,1.94,2026-06-04,1853,A,70,6.1NRT,289.05,80.28,D
-15.22396,-46.27694,326.88,1.51,1.21,2026-06-04,1858,A,83,6.1NRT,298.11,38.09,D
-15.75043,-49.94425,315.79,1.01,1,2026-06-04,1858,A,69,6.1NRT,298.47,10.03,D
-29.72864,-58.5532,308.34,4.44,1.94,2026-06-04,1853,A,67,6.1NRT,289.43,66.14,D
-15.75179,-49.95337,330.9,1.01,1,2026-06-04,1858,A,85,6.1NRT,299.23,26.4,D
-29.05737,-52.79006,301.18,1.71,1.28,2026-06-04,1853,A,45,6.1NRT,289.45,9.58,D
-15.63237,-49.28323,317.76,1.04,1.02,2026-06-04,1858,A,73,6.1NRT,299.59,12.42,D
-15.63381,-49.29262,324.32,1.04,1.02,2026-06-04,1858,A,80,6.1NRT,300.98,19.29,D
-28.22517,-56.73027,311.91,3.18,1.69,2026-06-04,1853,A,72,6.1NRT,290.59,59.47,D
-16.60317,-58.25064,313.87,2.9,1.62,2026-06-04,1858,A,68,6.1NRT,298.4,39.15,D
-16.5972,-58.2296,311.38,2.88,1.62,2026-06-04,1858,A,62,6.1NRT,298.53,30.27,D
-28.22639,-56.73462,310.27,3.18,1.69,2026-06-04,1853,A,70,6.1NRT,290.58,53.47,D
-16.60023,-58.25605,310.37,2.9,1.62,2026-06-04,1858,A,60,6.1NRT,297.9,26.59,D
-28.0646,-56.03007,305.5,2.82,1.6,2026-06-04,1853,A,62,6.1NRT,290.13,25.79,D
-16.55068,-59.2935,308.27,3.49,1.76,2026-06-04,1858,A,51,6.1NRT,296.39,28.77,D
